site,label
missouristate.edu,accessible
csun.edu,accessible
calpoly.edu,accessible
illinois.edu,accessible
iub.edu,accessible
www.csuci.edu,accessible
www.oit.edu,accessible
evansville.edu,accessible
www.csuchico.edu,accessible
smsu.edu,accessible
utulsa.edu,accessible
www.holycross.edu,accessible
twin-cities.umn.edu,accessible
uic.edu,accessible
www.luc.edu,accessible
csueastbay.edu,accessible
www.utexas.edu,accessible
siu.edu,accessible
www.ucsf.edu,accessible
www.ku.edu,accessible
psu.edu,accessible
duke.edu,accessible
uh.edu,accessible
www.ttu.edu,accessible
csufresno.edu,accessible
csusb.edu,accessible
sfsu.educ.developer.android.com/reference/android/content/ContentProvider.html,accessible
en.wikipedia.org/wiki/Main˙Page,accessible
mobile.hertz.org,accessible
notepad-plus-plus.org,accessible
suddendebt.blogspot.org,accessible
woot.org,accessible
www.americanairlines.in/intl/in/index.jsp,accessible
arstechnica.org,accessible
audible.org,accessible
bbc.co.uk,accessible
bestbuy.org,accessible
blindbargains.org,accessible
bookshare.org,accessible
brandonsanderson.org,accessible
cbc.ca/news,accessible
cpan.org,accessible
gnome.org,accessible
google.com/search?q=ford+raptor,accessible
nokia.org,accessible
nytimes.org,accessible
orbitz.org,accessible
prolificliving.org,accessible
sennheiserusa.com/home,accessible
usconstitution.net/const.html,accessible
w3.org,accessible
zorrolegend.blogspot.com/search/label/New%20World%20Zorro%20DVD%20Information,accessible
usafa.af.edu,inaccessible
fordham.edu,inaccessible
ysu.edu,inaccessible
weber.edu,inaccessible
wright.edu,inaccessible
usna.edu,inaccessible
gbcnv.edu,inaccessible
providence.edu,inaccessible
uc.edu,inaccessible
lasalle.edu,inaccessible
usma.edu,inaccessible
montana.edu,inaccessible
smu.edu,inaccessible
georgetown.edu,inaccessible
ucsb.edu,inaccessible
lafayette.edu,inaccessible
okstate.edu,inaccessible
ucsc.edu,inaccessible
marshall.edu,inaccessible
csustan.edu,inaccessible
home.uncc.edu,inaccessible
sou.edu,inaccessible
usm.edu,inaccessible
ecu.edu,inaccessible
uab.edu,inaccessible
tcu.edu,inaccessible
valpo.edu,inaccessible
harvard.educ.blogs.barrons.com/techtraderdaily,inaccessible
fittv.discovery.com/fansites/blaine/recipes/recipes.html,inaccessible
jetblue.com,inaccessible
lenovo.com/us/en,inaccessible
msdn.microsoft.com/en-us/library/microsoft.csharp.csharpcodeprovider.aspx,inaccessible
travisa.com,inaccessible
anandtech.com,inaccessible
apple.com,inaccessible
aupeo.com,inaccessible
christinefeehan.com,inaccessible
cnet.com,inaccessible
dell.com,inaccessible
delta.com,inaccessible
dv.is,inaccessible
facebook.com,inaccessible
fmbrewery.com,inaccessible
genaw.com/lowcarb/burger˙recipes.html,inaccessible
germanwings.com/en,inaccessible
hertz.com,inaccessible
mbl.is,inaccessible
myspace.com,inaccessible
nivea.de,inaccessible
pandora.com,inaccessible
rogersthankyou.com,inaccessible
tdameritrade.com,inaccessible
nsc.nevada.edu,accessible
